Sample ID,Category,SDate,Conductivity_uS/cm,Nitrate,Sulphate,Iron,sid
MW1,Control,1999,18.8,0.01,6,0.167899339,1
MW1,Control,1999,10.6,0.01,8,0.455085355,2
MW1,Control,1999,24.6,0.01,12,0.459713603,3
MW1,Control,1999,22.1,0.01,3,0.787591913,4
MW1,Control,2000,23.5,0.01,1.6,0.653959522,6
MW1,Control,2000,24.5,0.01,1.2,0.231455873,7
MW1,Control,2004,13.2,1.53,11.9,0.570419397,8
MW1,Control,2004,14.5,2.82,5.9,0.412106468,9
MW1,Control,2004,21.7,0.22,6.5,0.45427065,10
MW1,Control,2004,19.3,0.06,15.1,0.414343623,11
MW1,Control,2005,20,1.03,8.6,0.111244505,12
MW1,Control,2005,16.5,0.03,10.6,0.495334792,13
MW1,Control,2005,17.7,0.03,9.9,0.739391662,14
MW1,Control,2006,245.6,0.01,1.8,0.11,15
MW1,Control,2006,201,0.57,7,0.675681396,16
MW1,Control,2006,240.7,0.37,4.2,0.354267713,17
MW1,Control,2006,198,0.16,1.7,0.529535829,18
MW1,Control,2007,293,0.04,0.1,0.42,19
MW1,Control,2007,315,0.02,1,0.46,20
MW1,Control,2007,299,0.01,1,2.3,21
MW1,Control,2008,249.5,0.14,1,0.02,22
MW1,Control,2008,252.3,1.05,1,0.47,23
MW1,Control,2009,245,0.36,1,0.11,24
MW1,Control,2009,162,0.53,1,0.4,25
MW1,Control,2009,306,0.61,1,0.6,26
MW1,Control,2010,212.4,1.02,1,0.66,28
MW1,Control,2010,249.5,0.79,1,0.3,29
MW1,Control,2010,285.6,0.26,1,2.45,30
MW1,Control,2010,193.7,0.03,1,0.76,31
MW1,Control,2010,521,0.03,1,0.81,32
MW2,Control,2004,42.1,0.03,0.3,0.523889661,33
MW2,Control,2004,41.8,0.05,2.1,0.464307405,34
MW2,Control,2004,26.7,47,8.4,0.571440771,35
MW2,Control,2004,22.8,0.77,11.3,0.365128144,36
MW2,Control,2004,30.3,0.21,7.6,0.410106797,37
MW2,Control,2004,16,0.32,12.4,0.44608402,38
MW2,Control,2005,46.1,0.05,5.1,0.943185521,39
MW2,Control,2005,31.8,0.01,7.7,0.042358756,40
MW2,Control,2005,44.7,0.71,1.3,0.695346991,41
MW2,Control,2005,500,0.77,0.5,0.569167617,42
MW2,Control,2005,51.2,0.24,26.7,0.881676071,43
MW2,Control,2005,44.9,2.46,0.2,0.758445325,44
MW2,Control,2005,36.7,0.7,27.6,0.160044504,45
MW2,Control,2005,30.4,0.17,6,0.493514681,46
MW2,Control,2005,24.2,0.47,6.1,0.646055174,47
MW2,Control,2005,17.8,0.79,8.9,0.071615493,48
MW2,Control,2005,26.3,0.03,2.8,0.263906463,49
MW2,Control,2006,377,0.08,2.2,0.770435132,50
MW2,Control,2006,81.8,0.38,5.6,0.331941922,51
MW2,Control,2006,740,4.58,17,0.008523387,52
MW2,Control,2006,380,1.3,5.1,0.717306735,53
MW2,Control,2006,300,0.72,1.9,0.47754316,54
MW2,Control,2006,351,0.23,8.2,0.930596618,55
MW2,Control,2006,258.3,0.21,7.8,0.368569322,56
MW2,Control,2006,92,0.09,5.2,0.434241072,57
MW2,Control,2006,275.1,0.24,15.2,0.30210816,58
MW2,Control,2006,291.4,1.13,1,0.015786785,59
MW2,Control,2007,490,0.38,1,0.01,60
MW2,Control,2007,231.5,1.13,10,0.01,61
MW2,Control,2007,558,0.31,1,0.05,62
MW2,Control,2007,233.2,0.1,5.3,0.07,63
MW2,Control,2007,248.5,13.4,0.4,0.19,64
MW2,Control,2007,190.4,0.17,1,0.85,65
MW2,Control,2007,174.1,0.02,6,0.777455909,66
MW2,Control,2008,234.3,0.26,2.2,6.35,67
MW2,Control,2008,367,0.72,26.8,0.24,68
MW2,Control,2008,241.8,0.12,1.5,0.52,69
MW2,Control,2009,326,0.22,23.1,0.02,70
MW2,Control,2009,411,0.65,33,0.1,71
MW2,Control,2009,243,0.44,8,0.1,72
MW2,Control,2009,440,0.39,17,0.1,73
MW2,Control,2010,301,0.7,20,0.17,74
MW2,Control,2010,226.8,1.04,9,0.59,75
MW2,Control,2010,369,0.5,12,0.539311569,76
MW2,Control,2010,524,0.08,94,0.33,77
MW2,Control,2010,371,0.1,5,0.238281854,78
MW3,Operational,2004,31.8,0.01,4.8,0.019243256,79
MW3,Operational,2004,39.1,0.03,4.8,0.189426102,80
MW3,Operational,2004,16.7,0.33,19.4,0.692239176,81
MW3,Operational,2004,18.6,0.33,17,0.481070753,82
MW3,Operational,2004,34.3,0.19,6.7,0.624191313,83
MW3,Operational,2005,193,2.01,9.9,0.218219548,84
MW3,Operational,2005,292,0.47,2.2,0.654499869,85
MW3,Operational,2005,272,1.42,2.9,0.211505428,86
MW3,Operational,2005,261,2.67,3.1,0.227774877,87
MW3,Operational,2005,128,1.29,14.3,0.475442085,88
MW3,Operational,2006,18.1,1.16,8.4,0.604025203,89
MW3,Operational,2006,270,4.3,13.1,0.492999488,90
MW3,Operational,2006,302,1.42,3.8,0.469654743,91
MW3,Operational,2006,218.6,0.78,11.4,0.077031569,92
MW3,Operational,2007,321,0.17,4.1,0.11,93
MW3,Operational,2007,321,0.09,20,0.59,94
MW3,Operational,2007,262.9,0.18,0.1,2.51,95
MW3,Operational,2007,248,4.28,0.1,3.1,96
MW3,Operational,2007,336,0.08,0.1,0.5,97
MW3,Operational,2007,216.5,0.01,0.1,16.8,98
MW3,Operational,2008,691,1.42,0.1,0.35,99
MW3,Operational,2008,311,1.46,1,0.63,100
MW3,Operational,2009,200.9,0.24,1,1.8,101
MW3,Operational,2009,279.6,0.8,1,1.1,102
MW3,Operational,2010,290.3,1.49,34,0.07,103
MW3,Operational,2010,300,0.27,1,2.1,104
MW3,Operational,2010,256.7,0.44,1,0.8,105
MW3,Operational,2010,264,0.31,5,2.55,106
MW4,Operational,2006,321,0.01,3.3,0.08,107
MW4,Operational,2007,321,0.03,0.3,0.01,108
MW4,Operational,2007,502,3.09,0.1,0.36,109
MW4,Operational,2007,348,8.46,0.1,0.68,110
MW4,Operational,2007,467,0.22,0.1,1.44,111
MW4,Operational,2007,358,0.21,0.1,2.37,112
MW4,Operational,2007,171.1,0.05,17.2,4.88,113
MW4,Operational,2007,264.5,0.01,0.1,8.14,114
MW4,Operational,2007,268.9,0.01,0.1,2.95,115
MW4,Operational,2009,4,0.02,1,0.1,116
MW4,Operational,2009,8,0.32,1,0.7,117
MW4,Operational,2009,260.7,1.21,3,0.9,118
MW4,Operational,2009,173,0.35,1,0.7,119
MW4,Operational,2010,228.5,0.16,1,1.25,120
