Sample ID,Category,Date,Conductivity,Nitrate,Sulphate,Iron,id
MW1,Control,1999,18.8,0.01,6,0.16,1
MW1,Control,1999,10.6,0.01,8,0.45,2
MW1,Control,1999,24.6,0.01,12,0.45,3
MW1,Control,1999,22.1,0.01,3,0.78,4
MW1,Control,2000,23.5,0.01,1.6,0.65,6
MW1,Control,2000,24.5,0.01,1.2,0.23,7
MW1,Control,2004,13.2,1.53,11.9,0.57,8
MW1,Control,2004,14.5,2.82,5.9,0.41,9
MW1,Control,2004,21.7,0.22,6.5,0.45,10
MW1,Control,2004,19.3,0.06,15.1,0.41,11
MW1,Control,2005,20,1.03,8.6,0.11,12
MW1,Control,2005,16.5,0.03,10.6,0.49,13
MW1,Control,2005,17.7,0.03,9.9,0.73,14
MW1,Control,2006,245.6,0.01,1.8,0.11,15
MW1,Control,2006,201,0.57,7,0.67,16
MW1,Control,2006,240.7,0.37,4.2,0.35,17
MW1,Control,2006,198,0.16,1.7,0.52,18
MW1,Control,2007,293,0.04,0.1,0.42,19
MW1,Control,2007,315,0.02,1,0.46,20
MW1,Control,2007,299,0.01,1,2.30,21
MW1,Control,2008,249.5,0.14,1,0.02,22
MW1,Control,2008,252.3,1.05,1,0.47,23
MW1,Control,2009,245,0.36,1,0.11,24
MW1,Control,2009,162,0.53,1,0.40,25
MW1,Control,2009,306,0.61,1,0.60,26
MW1,Control,2010,212.4,1.02,1,0.66,28
MW1,Control,2010,249.5,0.79,1,0.30,29
MW1,Control,2010,285.6,0.26,1,2.45,30
MW1,Control,2010,193.7,0.03,1,0.76,31
MW1,Control,2010,521,0.03,1,0.81,32
MW2,Control,2004,42.1,0.03,0.3,0.52,33
MW2,Control,2004,41.8,0.05,2.1,0.46,34
MW2,Control,2004,26.7,47,8.4,0.57,35
MW2,Control,2004,22.8,0.77,11.3,0.36,36
MW2,Control,2004,30.3,0.21,7.6,0.41,37
MW2,Control,2004,16,0.32,12.4,0.44,38
MW2,Control,2005,46.1,0.05,5.1,0.94,39
MW2,Control,2005,31.8,0.01,7.7,0.04,40
MW2,Control,2005,44.7,0.71,1.3,0.69,41
MW2,Control,2005,500,0.77,0.5,0.56,42
MW2,Control,2005,51.2,0.24,26.7,0.88,43
MW2,Control,2005,44.9,2.46,0.2,0.75,44
MW2,Control,2005,36.7,0.7,27.6,0.16,45
MW2,Control,2005,30.4,0.17,6,0.49,46
MW2,Control,2005,24.2,0.47,6.1,0.64,47
MW2,Control,2005,17.8,0.79,8.9,0.07,48
MW2,Control,2005,26.3,0.03,2.8,0.26,49
MW2,Control,2006,377,0.08,2.2,0.77,50
MW2,Control,2006,81.8,0.38,5.6,0.33,51
MW2,Control,2006,740,4.58,17,0.00,52
MW2,Control,2006,380,1.3,5.1,0.71,53
MW2,Control,2006,300,0.72,1.9,0.47,54
MW2,Control,2006,351,0.23,8.2,0.93,55
MW2,Control,2006,258.3,0.21,7.8,0.36,56
MW2,Control,2006,92,0.09,5.2,0.43,57
MW2,Control,2006,275.1,0.24,15.2,0.30,58
MW2,Control,2006,291.4,1.13,1,0.01,59
MW2,Control,2007,490,0.38,1,0.01,60
MW2,Control,2007,231.5,1.13,10,0.01,61
MW2,Control,2007,558,0.31,1,0.05,62
MW2,Control,2007,233.2,0.1,5.3,0.07,63
MW2,Control,2007,248.5,13.4,0.4,0.19,64
MW2,Control,2007,190.4,0.17,1,0.85,65
MW2,Control,2007,174.1,0.02,6,0.77,66
MW2,Control,2008,234.3,0.26,2.2,6.35,67
MW2,Control,2008,367,0.72,26.8,0.24,68
MW2,Control,2008,241.8,0.12,1.5,0.52,69
MW2,Control,2009,326,0.22,23.1,0.02,70
MW2,Control,2009,411,0.65,33,0.10,71
MW2,Control,2009,243,0.44,8,0.10,72
MW2,Control,2009,440,0.39,17,0.10,73
MW2,Control,2010,301,0.7,20,0.17,74
MW2,Control,2010,226.8,1.04,9,0.59,75
MW2,Control,2010,369,0.5,12,0.53,76
MW2,Control,2010,524,0.08,94,0.33,77
MW2,Control,2010,371,0.1,5,0.23,78
MW3,Operational,2004,31.8,0.01,4.8,0.01,79
MW3,Operational,2004,39.1,0.03,4.8,0.18,80
MW3,Operational,2004,16.7,0.33,19.4,0.69,81
MW3,Operational,2004,18.6,0.33,17,0.48,82
MW3,Operational,2004,34.3,0.19,6.7,0.62,83
MW3,Operational,2005,193,2.01,9.9,0.21,84
MW3,Operational,2005,292,0.47,2.2,0.65,85
MW3,Operational,2005,272,1.42,2.9,0.21,86
MW3,Operational,2005,261,2.67,3.1,0.22,87
MW3,Operational,2005,128,1.29,14.3,0.47,88
MW3,Operational,2006,18.1,1.16,8.4,0.60,89
MW3,Operational,2006,270,4.3,13.1,0.49,90
MW3,Operational,2006,302,1.42,3.8,0.46,91
MW3,Operational,2006,218.6,0.78,11.4,0.07,92
MW3,Operational,2007,321,0.17,4.1,0.11,93
MW3,Operational,2007,321,0.09,20,0.59,94
MW3,Operational,2007,262.9,0.18,0.1,2.51,95
MW3,Operational,2007,248,4.28,0.1,3.10,96
MW3,Operational,2007,336,0.08,0.1,0.50,97
MW3,Operational,2007,216.5,0.01,0.1,16.80,98
MW3,Operational,2008,691,1.42,0.1,0.35,99
MW3,Operational,2008,311,1.46,1,0.63,100
MW3,Operational,2009,200.9,0.24,1,1.80,101
MW3,Operational,2009,279.6,0.8,1,1.10,102
MW3,Operational,2010,290.3,1.49,34,0.07,103
MW3,Operational,2010,300,0.27,1,2.10,104
MW3,Operational,2010,256.7,0.44,1,0.80,105
MW3,Operational,2010,264,0.31,5,2.55,106
MW4,Operational,2006,321,0.01,3.3,0.08,107
MW4,Operational,2007,321,0.03,0.3,0.01,108
MW4,Operational,2007,502,3.09,0.1,0.36,109
MW4,Operational,2007,348,8.46,0.1,0.68,110
MW4,Operational,2007,467,0.22,0.1,1.44,111
MW4,Operational,2007,358,0.21,0.1,2.37,112
MW4,Operational,2007,171.1,0.05,17.2,4.88,113
MW4,Operational,2007,264.5,0.01,0.1,8.14,114
MW4,Operational,2007,268.9,0.01,0.1,2.95,115
MW4,Operational,2009,4,0.02,1,0.10,116
MW4,Operational,2009,8,0.32,1,0.70,117
MW4,Operational,2009,260.7,1.21,3,0.90,118
MW4,Operational,2009,173,0.35,1,0.70,119
MW4,Operational,2010,228.5,0.16,1,1.25,120
MW4,Operational,2010,306,0.22,1,1.03,121
MW4,Operational,2010,316,0.46,5,1.03,122
MW4,Operational,2010,331,1.05,1,0.70,123
MW4,Operational,2010,389,0.16,1,2.98,124
MW5,Operational,1999,31.6,0,1.1,0.98,125
MW5,Operational,1999,24.6,0,8.9,0.46,126
MW5,Operational,2003,23.4,0.5,10,0.67,127
MW5,Operational,2003,23.4,1.8,10.8,0.21,128
MW5,Operational,2004,291,0,1.9,0.54,129
MW5,Operational,2004,262,0,6.4,0.33,130
MW5,Operational,2004,22.5,0.1,6.7,0.21,131
MW5,Operational,2004,199,0.1,17.1,0.84,132
MW5,Operational,2004,186,0.1,8.4,0.54,133
MW5,Operational,2004,230,0.2,31.2,0.64,134
MW5,Operational,2004,276,0,5.3,0.35,135
MW5,Operational,2004,15.3,1.6,20.3,0.25,136
MW5,Operational,2005,332,0.6,2,0.54,137
MW5,Operational,2005,316,0.1,2.3,0.26,138
MW5,Operational,2005,286,0.3,8.6,0.47,139
MW5,Operational,2005,283,0.7,1.3,0.57,140
MW5,Operational,2005,342,0.1,24.2,0.65,141
MW5,Operational,2005,326,0.6,3.3,0.09,142
MW5,Operational,2005,313,0.9,14.6,0.51,143
MW5,Operational,2005,302,0.3,7.4,0.37,144
MW5,Operational,2005,155,0.1,12.6,0.61,145
MW5,Operational,2005,181,1,18.2,0.54,146
MW5,Operational,2005,187,0.1,11.4,0.70,147
MW5,Operational,2005,204,0.4,8.5,0.71,148
MW5,Operational,2006,604,6.7,70.9,0.04,149
MW5,Operational,2006,650,1.3,115.2,0.98,150
MW5,Operational,2006,398,3,1.1,0.84,151
MW5,Operational,2006,56.3,5.5,16,0.54,152
MW5,Operational,2006,23.4,7.6,60.8,0.38,153
MW5,Operational,2006,214,0.8,18.6,0.42,154
MW5,Operational,2006,345,0.1,5.9,0.21,155
MW5,Operational,2006,216.4,0.4,11.4,0.01,156
MW5,Operational,2006,284,4.3,35.5,0.98,157
MW5,Operational,2006,308,3.7,36.8,0.68,158
MW5,Operational,2006,197,0.5,4.1,0.55,159
MW5,Operational,2006,418,2.2,91.5,0.93,160
MW5,Operational,2007,820,1.9,200,0.01,161
MW5,Operational,2007,978,2.8,260.9,0.01,162
MW5,Operational,2007,1101,19.9,342.4,0.04,163
MW5,Operational,2007,547,0.7,1.1,0.19,164
MW5,Operational,2007,314,11.7,12,0.34,165
MW5,Operational,2007,272.2,0.4,11.2,0.35,166
MW5,Operational,2007,319,1.5,3,0.58,167
MW5,Operational,2007,283.3,1.7,11.9,0.77,168
MW5,Operational,2007,291.9,0.2,19.4,1.18,169
MW5,Operational,2007,1724,0.3,338,0.05,170
MW5,Operational,2007,1132,0.1,300,0.02,171
MW5,Operational,2007,342,1.1,16,0.01,172
MW5,Operational,2008,174,1.7,79.8,0.03,173
MW5,Operational,2008,352,1.44,55,0.02,174
MW5,Operational,2008,397,0.4,54.2,0.04,175
MW5,Operational,2009,714,0.16,135.4,0.02,176
MW5,Operational,2009,663,2.72,195.4,0.02,177
MW5,Operational,2009,185.6,2.87,63,0.20,178
MW5,Operational,2009,482,2.79,101,0.20,179
MW5,Operational,2010,412,0.31,49,0.74,180
MW5,Operational,2010,296,0.86,41,0.29,181
MW5,Operational,2010,591,1.25,123,0.10,182
MW6,Surveillance,1999,23.5,0.01,9.4,0.13,185
MW6,Surveillance,1999,35.6,0.01,3.2,0.61,186
